anime_id,name,genre,type,episodes
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26
